service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA22GEN-1037-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-2048-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-3041-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-4049-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-5048-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-6030-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-7025-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-A054-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-C027-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-D042-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-E047-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-F048-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-G037-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-H025-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-J032-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-L022-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-M023-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-N059-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
BFA22GEN-R050-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
SIR-FA2017-SI017-Sunday-00,0,0,0,0,0,0,1,20221204,20230618
AFA22GEN-1091-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-2099-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-3091-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
