service_id,date,exception_type
AFA22GEN-1037-Sunday-00,20221226,1
AFA22GEN-1037-Sunday-00,20230102,1
AFA22GEN-1037-Sunday-00,20230529,1
AFA22GEN-2048-Sunday-00,20221226,1
AFA22GEN-2048-Sunday-00,20230102,1
AFA22GEN-2048-Sunday-00,20230529,1
AFA22GEN-3041-Sunday-00,20221226,1
AFA22GEN-3041-Sunday-00,20230102,1
AFA22GEN-3041-Sunday-00,20230529,1
AFA22GEN-4049-Sunday-00,20221226,1
AFA22GEN-4049-Sunday-00,20230102,1
AFA22GEN-4049-Sunday-00,20230529,1
AFA22GEN-5048-Sunday-00,20221226,1
AFA22GEN-5048-Sunday-00,20230102,1
AFA22GEN-5048-Sunday-00,20230529,1
AFA22GEN-6030-Sunday-00,20221226,1
AFA22GEN-6030-Sunday-00,20230102,1
AFA22GEN-6030-Sunday-00,20230529,1
AFA22GEN-7025-Sunday-00,20221226,1
AFA22GEN-7025-Sunday-00,20230102,1
AFA22GEN-7025-Sunday-00,20230529,1
BFA22GEN-A054-Sunday-00,20221226,1
BFA22GEN-A054-Sunday-00,20230102,1
BFA22GEN-A054-Sunday-00,20230529,1
BFA22GEN-C027-Sunday-00,20221226,1
BFA22GEN-C027-Sunday-00,20230102,1
BFA22GEN-C027-Sunday-00,20230529,1
BFA22GEN-D042-Sunday-00,20221226,1
BFA22GEN-D042-Sunday-00,20230102,1
BFA22GEN-D042-Sunday-00,20230529,1
BFA22GEN-E047-Sunday-00,20221226,1
BFA22GEN-E047-Sunday-00,20230102,1
BFA22GEN-E047-Sunday-00,20230529,1
BFA22GEN-F048-Sunday-00,20221226,1
BFA22GEN-F048-Sunday-00,20230102,1
BFA22GEN-F048-Sunday-00,20230529,1
BFA22GEN-FS012-Sunday-00,20221226,1
BFA22GEN-FS012-Sunday-00,20230102,1
BFA22GEN-FS012-Sunday-00,20230529,1
BFA22GEN-G037-Sunday-00,20221226,1
BFA22GEN-G037-Sunday-00,20230102,1
BFA22GEN-G037-Sunday-00,20230529,1
AFA22GEN-GS013-Sunday-00,20221226,1
AFA22GEN-GS013-Sunday-00,20230102,1
AFA22GEN-GS013-Sunday-00,20230529,1
BFA22GEN-H025-Sunday-00,20221226,1
BFA22GEN-H025-Sunday-00,20230102,1
BFA22GEN-H025-Sunday-00,20230529,1
BFA22GEN-J032-Sunday-00,20221226,1
BFA22GEN-J032-Sunday-00,20230102,1
BFA22GEN-J032-Sunday-00,20230529,1
BFA22GEN-L022-Sunday-00,20221226,1
BFA22GEN-L022-Sunday-00,20230102,1
BFA22GEN-L022-Sunday-00,20230529,1
BFA22GEN-M023-Sunday-00,20221226,1
BFA22GEN-M023-Sunday-00,20230102,1
BFA22GEN-M023-Sunday-00,20230529,1
BFA22GEN-N059-Sunday-00,20221226,1
BFA22GEN-N059-Sunday-00,20230102,1
BFA22GEN-N059-Sunday-00,20230529,1
BFA22GEN-Q023-Sunday-00,20221226,1
BFA22GEN-Q023-Sunday-00,20230102,1
BFA22GEN-Q023-Sunday-00,20230529,1
BFA22GEN-R050-Sunday-00,20221226,1
BFA22GEN-R050-Sunday-00,20230102,1
BFA22GEN-R050-Sunday-00,20230529,1
SIR-FA2017-SI017-Sunday-00,20230102,1
SIR-FA2017-SI017-Sunday-00,20230529,1
